date,cloud_cover_badajoz,cloud_cover_c_real,cloud_cover_cadiz,cloud_cover_cordoba,cloud_cover_huelva,cloud_cover_lisbon,cloud_cover_malaga,cloud_cover_seville,precipitation_badajoz,precipitation_c_real,precipitation_cadiz,precipitation_cordoba,precipitation_huelva,precipitation_lisbon,precipitation_malaga,precipitation_seville,pressure_msl_badajoz,pressure_msl_c_real,pressure_msl_cadiz,pressure_msl_cordoba,pressure_msl_huelva,pressure_msl_lisbon,pressure_msl_malaga,pressure_msl_seville,relative_humidity_2m_badajoz,relative_humidity_2m_c_real,relative_humidity_2m_cadiz,relative_humidity_2m_cordoba,relative_humidity_2m_huelva,relative_humidity_2m_lisbon,relative_humidity_2m_malaga,relative_humidity_2m_seville,temperature_2m_badajoz,temperature_2m_c_real,temperature_2m_cadiz,temperature_2m_cordoba,temperature_2m_huelva,temperature_2m_lisbon,temperature_2m_malaga,temperature_2m_seville,wind_direction_10m_badajoz,wind_direction_10m_c_real,wind_direction_10m_cadiz,wind_direction_10m_cordoba,wind_direction_10m_huelva,wind_direction_10m_lisbon,wind_direction_10m_malaga,wind_direction_10m_seville,wind_speed_10m_badajoz,wind_speed_10m_c_real,wind_speed_10m_cadiz,wind_speed_10m_cordoba,wind_speed_10m_huelva,wind_speed_10m_lisbon,wind_speed_10m_malaga,wind_speed_10m_seville,hour,sin_hour,cos_hour,temp_lag_1h,temp_lag_3h,temp_lag_6h,temp_lag_12h,temp_lag_24h,temp_rolling_mean_6h,temp_rolling_mean_24h
2026-03-20 00:00:00+00:00,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,0.0,0.0,1.0,0.0,0.0,1.2,0.0,0.4,1008.4,1011.2,1009.0,1008.8,1008.6,1006.6,1009.7,1007.9,94.897224,75.72718,81.82452,78.61405,94.2888,94.55468,89.49857,87.53376,13.15,10.35,13.698,13.7,13.45,12.3914995,14.0055,14.8,360.0,63.172203,121.42952,264.2895,360.0,99.60514,254.84587,283.82867,0.54,17.548845,3.7971041,7.2359104,0.54,11.866355,8.951267,12.049249,0,0.0,1.0,15.35,18.85,22.3,19.1,15.65,19.125,17.245833333333334
2026-03-20 01:00:00+00:00,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.2,0.0,0.9,0.3,0.0,0.2,1008.5,1011.3,1009.8,1009.2,1009.5,1007.5,1009.5,1008.8,96.458466,80.41668,89.48635,83.62192,92.14658,95.80704,87.17367,88.94846,12.85,9.35,13.848,12.6,13.45,12.2415,14.0055,14.45,224.9999,60.32702,135.0001,288.43503,181.36389,97.853226,265.23645,276.61337,1.0182338,17.816362,16.800856,4.5536795,15.124284,10.538843,10.837435,12.503199,1,0.25881904510252074,0.9659258262890683,14.8,16.75,21.35,20.45,15.0,17.875,17.210416666666667
2026-03-20 02:00:00+00:00,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,0.3,0.0,3.2,0.1,3.4,0.3,1.7,0.8,1008.7,1011.2,1010.3,1009.8,1009.8,1006.6,1009.9,1010.4,96.46933,78.775085,85.788155,83.65129,90.65672,92.438126,90.36653,80.507416,13.25,9.4,14.398,12.85,13.65,13.2415,13.7555,13.95,235.17543,64.604126,128.15727,243.43501,137.89865,119.05451,254.98158,255.29166,5.0432134,19.726225,3.2048087,7.24486,20.135878,14.8257065,7.6409945,14.887859,2,0.49999999999999994,0.8660254037844387,14.45,15.35,20.15,20.65,14.35,16.724999999999998,17.187500000000004
2026-03-20 03:00:00+00:00,100.0,99.0,100.0,98.0,100.0,100.0,100.0,100.0,0.9,0.0,1.0,0.0,7.1,0.7,0.0,0.5,1009.0,1011.6,1010.0,1009.9,1008.7,1006.7,1010.0,1010.3,95.52738,81.992516,91.27419,78.51726,93.075035,94.27325,89.4947,89.16467,13.3,8.55,13.948,13.05,13.75,13.091499,13.9555,13.5,186.63242,61.294147,132.3574,198.00426,122.90524,151.22537,246.0375,260.67648,7.79215,17.238699,8.281956,7.570707,21.868332,25.053646,10.636766,12.221456,3,0.7071067811865475,0.7071067811865476,13.95,14.8,18.85,22.1,13.95,15.691666666666668,17.170833333333334
2026-03-20 04:00:00+00:00,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,1.4,0.0,2.3,0.4,2.3,0.2,0.3,0.4,1008.6,1011.7,1010.1,1010.0,1008.2,1006.5,1009.5,1009.9,91.54877,84.5097,92.46685,83.324455,93.056755,91.81907,94.276024,88.26876,13.55,7.9,13.748,12.45,13.4,13.0415,13.155499,13.3,125.39488,57.84773,136.73567,235.0079,124.36285,176.98727,285.06854,223.1524,8.39078,14.88242,12.606426,6.59154,25.512419,13.698934,9.6932955,11.843124,4,0.8660254037844386,0.5000000000000001,13.5,14.45,16.75,22.85,14.1,14.799999999999999,17.152083333333334
2026-03-20 05:00:00+00:00,100.0,100.0,100.0,100.0,100.0,87.0,100.0,100.0,1.1,0.0,2.9,0.5,1.5,0.4,0.0,2.0,1007.5,1011.9,1009.5,1010.0,1006.5,1006.4,1009.9,1010.1,92.42723,85.95021,91.85617,92.05448,93.03839,92.70996,91.23553,92.41582,13.05,7.55,13.648,11.9,13.05,12.6414995,13.355499,12.85,95.33207,51.842735,111.61484,213.23172,109.418564,168.9591,285.84314,217.72505,13.558673,12.819235,20.523157,6.2405767,26.529093,7.519175,13.845967,12.061343,5,0.9659258262890683,0.25881904510252074,13.3,13.95,15.35,23.55,13.9,14.225,17.118750000000002
2026-03-20 06:00:00+00:00,100.0,100.0,100.0,99.0,100.0,85.0,100.0,100.0,1.3,0.0,1.7,0.6,0.2,1.1,0.8,2.1,1008.2,1011.8,1008.2,1010.4,1006.9,1006.6,1009.5,1009.5,91.18916,83.91343,92.75684,95.794395,90.31949,95.813484,88.85495,93.345314,12.65,7.8,13.498,11.85,13.1,12.4415,13.3055,13.05,101.07016,57.011467,104.12322,221.05472,123.02388,134.27486,294.97388,160.20103,8.43699,12.232057,28.769608,7.3997297,25.762016,10.055864,14.49531,4.7827187,6,1.0,6.123233995736766e-17,12.85,13.5,14.8,22.3,13.55,13.808333333333332,17.075
2026-03-20 07:00:00+00:00,100.0,100.0,100.0,100.0,100.0,91.0,100.0,100.0,1.7,0.0,0.4,0.8,0.5,0.2,0.0,0.4,1008.9,1012.6,1007.8,1010.5,1007.5,1006.6,1009.4,1008.8,92.990875,86.51868,87.71328,97.063576,90.91475,94.264534,89.13305,94.25837,12.15,7.25,13.598,11.5,13.05,12.8914995,13.105499,12.75,63.435013,59.743652,110.98927,224.9999,124.24909,145.2039,291.80148,98.25935,4.4274144,10.00256,30.653952,2.8001428,20.46941,12.932471,13.570615,11.276968,7,0.9659258262890683,-0.25881904510252063,13.05,13.3,14.45,21.35,13.4,13.516666666666667,17.054166666666667
2026-03-20 08:00:00+00:00,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,0.4,0.6,0.3,0.4,0.0,0.1,0.0,0.0,1009.1,1012.2,1008.8,1010.6,1008.4,1007.4,1010.1,1009.2,93.61452,85.086754,88.264275,95.47398,90.91814,96.44186,87.41545,91.81959,12.25,7.8,13.248,11.75,13.1,12.2415,13.5055,13.05,84.2895,60.524208,118.44283,135.0001,122.06191,138.12222,267.7543,102.5288,3.6179552,14.266632,24.565218,0.5091169,19.32801,7.0107627,9.187056,9.9571085,8,0.8660254037844388,-0.4999999999999998,12.75,12.85,13.95,20.15,12.8,13.233333333333334,17.027083333333334
2026-03-20 09:00:00+00:00,100.0,99.0,100.0,100.0,99.0,84.0,100.0,100.0,0.3,0.2,0.8,0.5,0.3,1.7,0.0,0.2,1009.5,1012.7,1008.8,1010.8,1008.6,1007.6,1010.8,1009.6,94.86402,88.07481,86.81906,95.480934,90.60088,96.7619,89.16911,92.73785,12.3,7.7,13.298,11.95,12.85,12.2915,13.5555,13.15,97.43131,61.326946,123.07069,99.46225,121.18491,131.05472,255.71887,93.17977,8.350138,13.130133,27.708893,1.0948973,15.990646,7.3997297,10.215693,9.734988,9,0.7071067811865476,-0.7071067811865475,13.05,13.05,13.5,18.85,13.05,13.083333333333334,17.0375
2026-03-20 10:00:00+00:00,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,0.4,0.0,0.0,0.6,0.2,0.3,0.1,1.1,1009.8,1013.0,1008.7,1010.9,1009.0,1007.7,1010.6,1009.8,94.56748,87.84378,86.015366,96.122765,90.30508,91.825195,86.61542,92.44997,12.7,8.5,13.848,12.2,12.9,13.1414995,14.155499,13.45,93.814,61.47699,118.465065,76.26372,122.868675,135.0001,286.55716,81.32691,8.11798,9.4238205,33.989033,8.338489,13.929953,10.691453,6.9480934,10.742848,10,0.49999999999999994,-0.8660254037844387,13.15,12.75,13.3,16.75,14.15,13.025,17.041666666666668
2026-03-20 11:00:00+00:00,100.0,100.0,100.0,100.0,99.0,88.0,100.0,100.0,0.3,0.2,0.1,0.3,0.3,0.1,0.2,0.7,1010.3,1012.9,1008.8,1011.2,1009.3,1007.9,1011.1,1009.7,95.51369,80.528046,81.13098,93.017334,88.590645,88.06858,82.27456,88.62413,12.9,10.15,14.598,12.65,13.65,14.341499,15.105499,14.05,84.05324,74.66666,116.81906,69.14547,115.20109,138.01286,285.52417,93.44732,8.6867485,11.571914,36.305153,12.134992,10.1456785,12.108261,10.088033,14.967083,11,0.258819045102521,-0.9659258262890682,13.45,13.05,12.85,15.35,16.55,13.049999999999999,17.0125
2026-03-20 12:00:00+00:00,100.0,100.0,100.0,100.0,74.0,100.0,100.0,97.0,0.1,1.0,0.0,0.1,0.1,0.0,0.0,0.6,1010.6,1012.5,1008.7,1011.2,1009.6,1008.1,1011.3,1009.7,87.71796,78.4981,81.177284,90.330284,83.60223,80.94904,73.44476,75.91023,13.65,11.15,14.948,13.25,14.8,15.2415,16.1055,16.1,79.11452,88.58562,113.07575,71.09533,109.70808,126.86999,280.53912,100.09744,9.531505,14.584445,33.065662,13.88919,12.810386,13.5,7.8728137,13.346729,12,1.2246467991473532e-16,-1.0,14.05,13.15,13.05,14.8,19.1,13.25,16.908333333333335
